balance,num_txn,avg_tx_value,avg_gas,avg_gas_used,avg_gas_price,avg_tx_fee,avg_tx_pct
0,6,8.5032690819409e+16,202651.667,37756.5,93627604561.0,3535050651607396.5,0.041572842368531863
2826872136252000,2,5.82021048121555e+16,185500.0,21000.0,154394154512.5,3242277244762500.0,0.05570721634942231
15212008098810000,1,1.521200809881e+16,21000.0,21000.0,170697233390.0,3584641901190000.0,0.23564554251521982
0,8,1.059880168752548e+16,54407.0,43268.75,156779306546.625,6783644620139280.0,0.6400388289294494
46653857873617890,41,5.954655190941946e+16,130331.927,82600.122,126109483292.341,1.0416658705304328e+16,0.17493302922308343
43166170000000000,1,4.316617e+16,21000.0,21000.0,168371945344.0,3535810852224000.0,0.08191161857130248
11198335000000000,7,4.672302858056071e+16,76434.286,60349.857,157129448700.857,9482739759585556.0,0.20295644455571282
57674739511379176,4,7.25088525e+16,86661.25,63024.25,164008513347.75,1.0336513547356932e+16,0.14255519417242096
3350366503856379,6,7.102770197345386e+16,52783.667,44308.667,180507858987.333,7998062614752696.0,0.11260483434677247
3147552640848000,3,3.782614206760347e+16,97333.33300000001,23937.667,157081631480.0,3760167786184957.5,0.09940658974591506
17456471190853592,4,1.297129294258775e+16,71539.75,28292.0,171015669756.25,4838375328743825.0,0.37300640346023806
1462850320407000,2,1.796932e+16,21000.0,21000.0,153856203138.5,3230980265908500.0,0.17980537192884874
43836936293437241,9,1.6962462222222222e+16,141437.333,94218.0,143318353741.667,1.350316865283238e+16,0.7960618261623668
22983510000000000,1,2.298351e+16,21000.0,21000.0,168371945344.0,3535810852224000.0,0.15384120407300714
0,4,2.1855153e+16,64056.75,49570.0,126705242474.5,6280778869460965.0,0.28738205902566616
21942388670593582,47,4.053354162766295e+17,183867.021,95453.66,149444073485.702,1.4264983779519214e+16,0.035193035709921244
449711764475860582,39,5.702080111347841e+17,157612.0,91737.564,104579312483.0,9593851371985212.0,0.016825178153657062
54222090794825485,20,1.41172706e+17,227003.55,87543.15,161954439021.7,1.4178001748442536e+16,0.10043019043952119
117444542942792837,80,8.619299778739515e+16,81173.087,38244.687999999995,97835105383.05,3741673080821867.5,0.04341040660925996
26054653649977691,258,9.92192950123918e+16,185599.24800000002,92637.0,145009127832.136,1.3433210574985582e+16,0.13538909516851402
15951146225171981,1,1.595114622517198e+16,21000.0,21000.0,164871945344.0,3462310852224000.0,0.21705718218294814
15940268483007692,11,2.2451150968600966e+17,121027.81800000001,96868.0,131281881946.364,1.2717013340380388e+16,0.056643035175193264
608249640374437485,469,1.190815165136802e+17,190964.802,127186.78300000001,90893592037.925,1.1560463566618096e+16,0.09708025145354963
11338840890224200,44,1.3604853554144264e+17,120427.341,94489.727,127372192976.31801,1.2035363741723606e+16,0.08846375077707054
45491512324140209,11,1.0357335511601005e+17,79201.182,59045.455,168866592754.091,9970804803465006.0,0.09626804878819407
25595089427551714,208,6.016707149838711e+16,173521.23100000003,121966.63900000001,38154790310.014,4653611535862176.0,0.07734482367131537
899581200238071894,819,2.024384021125527e+17,181075.348,124121.67300000001,79518242414.10901,9869937282458770.0,0.04875526174609516
3750847876485378,4,1.2089776619625256e+16,61296.25,43164.25,147705826915.75,6375611239448162.0,0.5273555864629189
403582312451705,28,1.130342346386941e+17,72046.429,34612.607,130833449205.25,4528486759795781.0,0.04006296653638402
18622068894761226,1,1.8622068894761224e+16,21000.0,21000.0,164871945344.0,3462310852224000.0,0.1859251446115109
19172031066179225,6,6.027531574259011e+16,185512.167,68565.667,123804785592.33301,8488757701930303.0,0.14083306901588252
31285051073951387,480,2.905959235799444e+17,125063.427,85985.64199999999,94217204335.80199,8101326802259117.0,0.02787832225055422
65026698882046496,374,9.443218493941331e+16,159054.807,121382.23,100599541730.08301,1.2210996712175534e+16,0.12930969160578018
25315837749912000,1,2.5315837749912e+16,21000.0,21000.0,164871945344.0,3462310852224000.0,0.13676461693376255
55212000000000000,4,4.202928027764032e+17,26250.0,21000.0,197818069675.75,4154179463190750.0,0.009884012849491463
212396989014000,87,1.2491359708044195e+17,155179.241,85578.954,131823312831.149,1.128130122490451e+16,0.09031283614096526
9495172849983044,37,1.8112522934868995e+17,136022.459,98300.32400000001,133449763435.703,1.311815498345296e+16,0.0724258847352446
181901481660579625,246,1.2461259629782602e+17,154427.18300000002,103414.57699999999,61979064991.882,6409538788990985.0,0.05143572142315444
36285466248524789,6,9583333333333334.0,45003.667,31391.167,184441380208.167,5789830167825065.0,0.6041561914252241
662129265715244725,34,4.130296653520164e+16,188252.38199999998,124266.52900000001,145995338581.029,1.814233397564426e+16,0.4392501434535443
15355577194849175,84,9.806635758856222e+16,74848.143,61881.96400000001,109521439920.679,6777401802399622.0,0.06911036535928292
78228636900000000,4,9.46829507050515e+16,31500.0,21000.0,140283687296.5,2945957433226500.0,0.031113916616345248
23010000000000000,1,2.301e+16,21000.0,21000.0,164871945344.0,3462310852224000.0,0.15046983277809647
8624024514104000,3,8.28928322021587e+16,21000.0,21000.0,141578823256.667,2973155288390007.0,0.035867459337606995
896995058606364885,9,6.111111111111111e+16,116955.444,98462.88900000001,146399158922.111,1.4414884134641176e+16,0.23587992220321924
89274601681156993,11,5.728136728097238e+16,75848.273,65039.09099999999,149768150307.182,9740784356730488.0,0.1700515336680199
17513030370122764,110,4.155449894761712e+16,154504.0,109334.064,53764413997.564,5878281880932158.0,0.14145957789894706
36310581562321000,6,1.856068170270535e+17,43433.333,27291.167,94641083395.5,2582865612007517.5,0.013915790666412036
