balance,num_txn,avg_tx_value,avg_gas,avg_gas_used,avg_gas_price,avg_tx_fee,avg_tx_pct
834712117749628416029,10000,2.7827876612750607e+18,26600.2,21823.146,47199700000.0,1030045944256200.0,0.00037014895480176076
811016143123628696005,10000,4517734006000000.0,249793.9,70310.325,53034100000.0,3728844807082500.0,0.8253794495493146
793392807747948753075,10000,3.3882023792613934e+18,73482.8,30866.746,50291900000.0,1552347303157400.0,0.00045816250902220364
634267487161196657,1397,2.999697999908473e+17,211572.392,135307.566,128244976864.175,1.7352515671217832e+16,0.05784754222507497
3236329250000000000,231,4.335686003687063e+17,53716.883,21000.0,35175798600.823,738691770617283.0,0.001703748311084106
845456372108119061,10000,8.468734538210112e+16,47166.7,21003.622000000003,269862246136.69897,5668084609926186.0,0.06692953456448937
5279094817175941681,495,7.879582170744713e+17,73092.386,21303.4,19019322557.588,405176236173320.25,0.0005142103063251974
3841693110000000000,277,2.704118167532078e+17,98277.978,21000.0,29203194500.852,613267084517892.0,0.0022679004633794986
3006651464999699406,1261,1.9995896519793551e+18,119198.866,22208.941000000003,23529383630.18,522562692809033.5,0.00026133496554743557
2431397500000000000,109,3.80039945476934e+17,100431.19300000001,21000.0,62421050250.29401,1310842055256174.2,0.003449221774861385
3307568990000000000,221,6.508087247064859e+17,93592.76,21000.0,34307876051.602,720465397083642.0,0.0011070309443201936
944346198001814484,277,2.567570303176961e+17,71227.437,21000.0,37198477968.487,781168037338227.0,0.0030424406933342992
3392957140000000000,174,4.297668322719036e+17,95965.51699999999,21000.0,31510624301.839,661723110338619.0,0.001539725871446408
59847604448468022500,410,1.244279074445166e+18,98027.30699999999,35937.041,121656295293.785,4371967271880858.5,0.00351365490400966
9960000000000000000,695,1.3259758473381294e+17,368794.898,301077.147,158545683085.153,4.7734481932444024e+16,0.3599951087213999
30708159451857413,10000,1.71292039200149e+17,142812.913,36312.75,100022332558.25099,3632085956604628.5,0.021204055795965265
840142511386017048,448,9.249284533665197e+16,211293.667,131088.31699999998,126685352344.96,1.6606969627452808e+16,0.17954869446395974
8198685206666595288,2001,2.4935132805134618e+17,169630.667,119329.049,66558930702.165,7942413903146252.0,0.03185230239283409
975615088653622857,623,2.4276544638428687e+18,205050.62600000002,155542.456,115013875626.236,1.7889540688983284e+16,0.00736906382495017
912404724063952181,40,1.1689861545268854e+17,156718.175,99128.825,70373641552.625,6976056398082892.0,0.0596761250855555
289412270000000000,134,1.9788432607312108e+18,100417.91,21000.0,78273381262.47,1643741006511870.0,0.0008306575053875082
4413642450000000000,1319,1.0115159520821326e+18,80300.379,21021.762000000002,20407058953.23,428992336434770.25,0.0004241083252831757
7338976656532081809,115,2.3948035789654287e+18,85405.12199999999,59793.026,111903991296.05199,6691078261068610.0,0.0027939987729428736
861176870983507622,432,4.297034871270004e+17,146274.62300000002,97918.836,150845433282.4,1.4770609242928266e+16,0.03437395712491102
6574129283460849568,430,1.1573754378685135e+18,21000.0,21000.0,114110058020.01599,2396311218420336.0,0.0020704700825805626
3330890381234082413,1749,5.942579923344573e+17,173639.525,111516.368,145022438783.443,1.6172375651631902e+16,0.027214401590294212
803019893494005537,578,1.888803022885629e+17,292627.96,184152.042,97666100724.294,1.7985411882556418e+16,0.09522121504803135
2604975751938232641,340,2.331984508165491e+17,262251.526,164241.447,91864438344.085,1.5087948281474804e+16,0.06470003650815023
536234628804029115,41,8.326620326373788e+17,235795.02399999998,124067.61,147759518555.415,1.833217032192099e+16,0.02201633988745177
5153905318505629495,336,1.4605061057146294e+18,209869.375,139988.631,123678180281.711,1.7313539142207916e+16,0.011854479125053953
532668501329162247,1114,1.0134828252557517e+17,211755.079,153499.214,84977510291.00099,1.3043981037345564e+16,0.1287045099560905
4812392195231517482,41,1.6643969883776982e+17,86314.146,47694.805,107772096870.61,5140169144684854.0,0.030883071650442122
4257473820782800020,5778,8.423146167907373e+17,223708.568,140559.869,72425528098.005,1.0180122741711404e+16,0.012085891113344564
706034975987673552,204,5.847929904763429e+17,208105.319,137829.853,100019067891.471,1.3785613424678468e+16,0.023573492926872126
2595546750000000000,61,3.453227380938852e+17,102065.57400000001,21000.0,63055318904.492004,1324161696994332.0,0.003834562717484081
5365615341905605891,73,3.3605285227470125e+17,91315.06800000001,21000.0,121250906948.82199,2546269045925262.0,0.007576989835646012
6703561030414452411,290,2.643192747961395e+17,238954.638,111505.30300000001,64219610712.366,7160827151024417.0,0.027091581408685842
630710438408630004,421,3.624330151460082e+17,139879.409,95559.869,84150341275.173,8041395588560826.0,0.02218726013501089
76241923413845755,1632,1.638419669063913e+17,203152.84399999998,140563.99300000002,94334467208.547,1.3260029388360932e+16,0.0809318249697091
2977500000000000000,80,7.2125e+17,100079.68800000001,63048.812000000005,159016002430.913,1.0025770042258178e+16,0.013900547718902154
4037855900703675912,66,5.312720538181818e+17,349494.03,248751.53,134569341490.909,3.3474329586956092e+16,0.06300788710111989
3064341264216887204,802,1.0507038162737618e+18,143994.51,94969.334,75207703559.52701,7142425518717710.0,0.0067977534754254144
7225000000000000000,625,1.27504e+17,270421.158,267206.843,105327998343.229,2.8144361916803452e+16,0.220733168502976
652687281336087096,233,1.5233177480748627e+17,227347.725,153801.854,88246406571.18,1.3572460939485266e+16,0.08909802932866671
7503173941715184622,535,1.7952922238301325e+18,157350.28,21048.127,39275748458.108,826680941566311.4,0.00046047152134522394
4866594509437430028,12,4.4285255699229626e+17,132586.667,42402.083,52644716223.167,2232245626806173.5,0.005040606837559719
