balance,num_txn,avg_tx_value,avg_gas,avg_gas_used,avg_gas_price,avg_tx_fee,avg_tx_pct
10540404227134579470520,10000,6.229764313385256e+18,28736.8,22074.317000000003,47505080000.0,1048642195030360.1,0.00016832774761273877
1194911359147776000,3,9.468664966666666e+17,145085.333,21000.0,86123981781.333,1808603617407992.8,0.0019100935810644599
1796300066665473521,105,1.0638278964720948e+18,142783.75199999998,102205.66699999999,132607101246.029,1.3553197231786924e+16,0.012740028040938328
1256355756010974300,23,1.3599384246389363e+18,27869.565,21000.0,180491304347.82602,3790317391304346.5,0.0027871242716821358
210808090000000000,11,4.663837427272727e+17,115545.455,21000.0,171727272727.273,3606272727272733.0,0.007732415169929226
1813906868000000000,26,8.654623567274967e+17,104498.769,22562.692000000003,138199972739.423,3118163419327998.0,0.0036028873989603187
1353305247208207874,17,4.015118263063652e+17,128882.353,21000.0,148342668463.706,3115196037737826.0,0.00775866570704904
1372814298782429000,13,1.0560109990634067e+17,56240.615,21000.0,60917069174.0,1279258452654000.0,0.01211406371513739
1710876526283961630,187,7.285034921883103e+17,145676.84,113801.65800000001,94169949990.46,1.0716696442691434e+16,0.01471056289723493
1417961493035073573,252,2.0951198023109e+18,226259.702,143526.726,110223185338.47198,1.5819972920922086e+16,0.007550867928159901
2025167938477012908,34,3.889715654257945e+17,24127.058999999997,23844.706000000002,135235294117.64699,3224645829058822.0,0.008290183950924297
1111620742588552507,29,1.9381826874611568e+17,51013.828,27296.103,103869162604.414,2835223360973833.0,0.014628256558661753
1110232238500965825,210,4.252394689652196e+17,93110.681,59690.886,102232530726.74301,6102350337101514.0,0.01435038556498768
1715266339644467911,159,5.640136234335095e+17,186324.233,130224.17599999999,115485262466.17,1.5038973144800714e+16,0.02666420192698347
1463835780605444913,75,1.1502211129286698e+18,207725.72,156292.49300000002,116700475146.30699,1.823940819490086e+16,0.015857306034367642
1005000000000000000,2,5.025e+17,21000.0,21000.0,115128264350.0,2417693551350000.0,0.0048113304504477615
1555676873199190077,14,1.8848826635034012e+18,121993.929,101622.64300000001,147622458057.92902,1.5001784354003396e+16,0.00795900171638261
1255535011983493837,72,5.2761422484347e+19,211708.333,30409.847,75123255302.139,2284486699879986.0,4.3298428895804246e-05
1409751164998037491,3091,2.7321387759328046e+18,99315.27,21000.0,13244985593.265,278144697458565.0,0.00010180474722174428
1104851925174715400,19,2.435122800586353e+17,180060.211,45650.789000000004,120188136926.526,5486683279135947.0,0.0225314439083516
0,1346,2.70563628096183e+18,21055.0,21055.0,78580866254.13701,1654520138980854.8,0.0006115087052250376
1306091188700720735,139,9.361381270568866e+16,1192192.683,693969.036,34251809670.194,2.376969533808001e+16,0.2539122662678986
224944335006365077,239,9.517805242514702e+16,183177.49399999998,132933.126,141754416400.837,1.8843857696468932e+16,0.19798532556955525
1930483172538439543,7,2.757833103626342e+17,21000.0,21000.0,86516921777.0,1816855357317000.0,0.006587981538578141
1599366993940411431,11,1.4539699944912832e+17,100000.0,21000.0,144681818181.818,3038318181818178.0,0.0208967048379924
205670179620741132,268,5.091922402885356e+17,142112.675,104588.22,59799968762.451,6254372288920353.0,0.01228292930264666
11493297588888647049,196,4.463938881702432e+17,42537.878,27484.821,88774131922.372,2439941125316780.0,0.005465892768644379
1528520485730895273,1347,2.1888309797444823e+18,66599.852,21000.0,38315383712.627,804623057965167.0,0.00036760401575597964
1717154038082721615,229,4.7623098392909536e+17,98091.70300000001,21000.0,23662510567.354,496912721914434.0,0.0010434279555158424
1728893071000000000,273,4.754177465312484e+17,145113.553,21000.0,86185755835.619,1809900872547999.0,0.00380696952470418
1301837930039857724,50,9.733577854334802e+17,348846.08,211258.68,54476400029.18,1.1508612361316528e+16,0.011823619776351019
1005938296814071705,2314,1.2707811372791197e+17,147331.49,112523.918,134697297201.608,1.5156667625135368e+16,0.11927048002606837
1043212874624679282,59,9.66749316187111e+17,134850.932,98021.32199999999,119911817130.915,1.1753914838594532e+16,0.012158182728230243
1053633777994891118,191,3.8278967536567096e+16,139396.529,106110.555,60605664002.76401,6430900643476810.0,0.16800089075896588
1155321644813680492,46,7.382065491395104e+16,109413.043,21000.0,57173211684.783,1200637445380443.0,0.01626424808585029
1956832713764207079,177,2.3460784606646445e+17,53483.615999999995,21000.0,24212966126.034,508472288646714.0,0.0021673285747769223
1262460187449337839,4,7.766988775e+17,104364.75,80535.25,165386567144.5,1.3319448531624094e+16,0.01714879333223202
1016586352000000000,2,1.0223e+18,241915.0,145181.0,128035499031.5,1.85883217848922e+16,0.01818284435575878
2278369064637363243,62,3.4002430455638464e+17,238219.613,197964.113,62301781231.08099,1.2333516859730998e+16,0.03627245668753596
1369952661487583447,29,1.3345192489564736e+17,159339.172,66837.207,125313276707.862,8375589415171650.0,0.06276109858828141
1374747953032679297,35,4.482870367666768e+17,162461.657,77602.657,126065442666.771,9783013306822596.0,0.021823101059053
1656414587920137162,29,2.977370222908027e+17,72686.586,51079.172,174041694143.483,8889905630326361.0,0.029858247261046033
2119708697819987436,277,4.214561522606963e+16,207668.25600000002,118357.242,63579498420.321,7525094080772550.0,0.17854986907672
1224903224127535071,11,1.1135483855704864e+17,86090.909,21000.0,92125381990.27301,1934633021795733.2,0.017373587415373905
2341376210515377661,73,1.2486588699336134e+17,59490.41099999999,21000.0,58386700376.04099,1226120707896860.8,0.009819501045646271
190185989561469886,292,1.1821371330289956e+18,175436.322,125937.925,106020742279.408,1.3352032289628414e+16,0.011294825208151983
