pubkey,balance,txn_count,total_transacted,total_fee,avg_txn,avg_fee_percent
5SAUpMG7uwBvD7LHxvh5hKa39y2qk5acGevimRTGc1t4,5129814754,11,181568842674,55000,16506258424,3.029154076768029e-05
LSEcYF6QqfmZYW8QKjtd5X8uX7bGgg3NGGnYtsvGzpX,6752297405,17,321758485245,85000,18926969720,2.641732973577295e-05
2kNacVdQZm9mt264H9LfS73acTFoGVdwc86qwbQBdFVv,5615592721,104,352915868771,520000,3393421815,0.00014734389864951567
7xUDCcn7usBSbtzfurg3dHzTFKF7doGW17PvPxR8BWfH,10009990003,18,56385336103,90000,3132518672,0.0001596159679452749
HPdLaKJaUDvC3NffFmn9wLrfMWVmCWS1iV53Q9htt9J7,11527699598,2,423942400,20000,211971200,0.004717622016575837
97mFpFth2QVAtT1RAfCK4yNkP4B9w98fjp18TEoTE21z,68180910477,31,125542540240,225000,4049759362,0.00017922211831134443
2aYh3HAS3EUXDxgrmRW95tLbY7NXg8EQ3PtxoXFkqjzW,14989995000,2,44990000000,10000,22495000000,2.222716159146477e-05
3wzNv2DLhWPoejrEH6rvBqNnSLXfoy2PzqdhYogbdRRa,12310447160,9,54134953520,45000,6014994835,8.31255909056519e-05
7xs5ykhwt96STCPup1ZQiDX6d4cbiHhSb2URJPe69NHd,8605670149,10,85505715149,50000,8550571514,5.8475623428061296e-05
6mTArEjxGwpBoubrZCRqGcpFC1EZYeBDa1ZQHJkLotcF,16597563680,12,109652506320,75000,9137708860,6.839788940266148e-05
APS8S79uB5w5fsQXwFNNZqKz6LNjPpELV5iK6gvrHbXD,17319454280,39,110211250286,270000,2825929494,0.0002449840640582024
CVq5BBHMLG72AjWJ529tRnxz8f1S9Fqu25ngBj4hNqpn,8126201300,11,83044519220,55000,7549501747,6.622953629762733e-05
CBFNNJ4iCi9DmBZy48fZQuQMXWHEDsZpt8FmpqeVNrVR,25354743680,3,82251252800,15000,27417084266,1.8236804290961512e-05
B7YPogVMgyAmHT2Y2cY7LMxDjYuCpPcV7T3q9WvuPVy2,15677405841,30,117702797261,150000,3923426575,0.0001274396220740469
GYnjUGMRXTrL4PkTLK86PVbTg9EbUwiwMbrkk319XFfr,5423419600,2,35423424600,10000,17711712300,2.8229907505893716e-05
C6iV4sFsHwPeV5axc5JtPYSCh2HsiUMBtjPTajLvfmXd,10010005085,10,64068631085,50000,6406863108,7.804131156425815e-05
3xvRjPa9WqXpDmZNB34WkKdvLAPyDw3qmpy32Bxi83hq,9904995000,22,155634453236,110000,7074293328,7.067843765493164e-05
ACsZoHzaRdyYXUnqsK62whNSCTnhfs3GtSqWhx2dDQev,1414372695662,7,56713802852,35000,8101971836,6.171337177183442e-05
9aVjAJfwj65jfm3m7cG9ACMsSMJSzkFar7uQisLh1rwW,3644931241073,9,60448239410,45000,6716471045,7.444385550219287e-05
GKHdcd5kAoxMM9U5op7guLJmhada6DXH8z6Vyj1bVg2G,6413209029,61,165320189406,435000,2710167039,0.00026312575709171816
EWxa26wp4EwtpaZKP86gMUnigGv89jW5G5SP7XoD7gnM,2435531189831,15,74928456426,75000,4995230428,0.00010009548251413754
2AnZs3AGdBem3VWHWUmMPcvrAV6NATKrCgNSHNdxXmeL,10392322391,15,106376981471,75000,7091798764,7.050397460323327e-05
7EM4T66xihqnrKEmGkGtZnmT2VkkbLcU6HzZ6U24kcg3,2921276119797,34,1236138638649,170000,36357018783,1.3752502727832884e-05
47HCUjNVBWqYMhsiSbPscAQBZo1NA1yU6Cs6AU2Hj1wJ,25473716211,34,512162978405,170000,15063617011,3.319255923757342e-05
HE2XSZgFu2MWRdLH7ruhHcFLZNHJS9CsQcCLz9jJABC8,947891980886,4,53456943869,20000,13364235967,3.7413287315884364e-05
5q6FNKButEzNrnssmrCynEjRJrB5ayzVvt7Yk92Mr3G3,6884744386,6,35197430766,30000,5866238461,8.523349388609179e-05
AdpV1waC8snjXZUDu42gKwQT5a2UCDy3QTzmwPZZyFnj,2324677647172,3,40477128947,15000,13492376315,3.7057964312737505e-05
CC6EVaAmMb81o93VyJbP7hieaegMymbvrLFvWGywqr2p,2637085311290,10,72129693375,50000,7212969337,6.931957930286987e-05
7WZENtot2s1gkPEmdqFfCsrqhXRu3wGvWhjSiSa297T3,13787778892,7,60928481156,35000,8704068736,5.744439929560485e-05
ieL3pJpnJkdUUE3MrKQoMvYQVGSvnJZy1pKZYURW9oP,16767416428,40,216268352132,200000,5406708803,9.247770098046034e-05
HkE5svJCX7Fyj7a3V72jgZo3mfQxA7exTu1kbKsTxGbT,4671604938,4,45814552938,20000,11453638234,4.3654251143879184e-05
9U1RbtSY77TMte2azMyjQppkMxLPRUSnCZ3xcd1oCZN5,486133161440,6,27146807980,35000,4524467996,0.00012892860194018286
9kj6cWA6AmG3WCNt6kHsBKGMTdJJKM7gHL832aXz5546,288902022300,3,28382723790,15000,9460907930,5.284905039763979e-05
5HJ1MG93Em4osjFH8HnE42Qxwwy1w91fnqgxz7K1H1Ke,15138769290,5,40918784290,25000,8183756858,6.109663430570117e-05
6tVjavVr5dyCbfZkvV2RqqpNwpX6FHVGPnRw3bWqRpMH,237095565213,4,27431725836,20000,6857931459,7.290828189071874e-05
8Lji2637nf649icvaE9y4ErRomsczHt96wxTxyQbkxdz,678955122743,16,111574726914,80000,6973420432,7.17008252788848e-05
EyAP9sNymKiYYR4kBfKrdrNKejy7hizsY1Mzm8tPFj5o,12895681910,4,58363885730,20000,14590971432,3.426776635901689e-05
G1Dm8BtjApHpQZrHyiDj4BNx1ncQT9D78b4zghPKUU4W,4168487770924,9,59717873808,45000,6635319312,7.535432380710724e-05
2gRpZsz6AFYPKVKqvvoukNn9ypnYGRFA8yfJeiW2RTzc,300835862373,9,44191627160,45000,4910180795,0.00010182924434321735
Br9uhJeQ7UDqKWEAVvnioUQjiALhFc6SvEZzbwF3sLL4,2122191494540,221,145771658174,1675000,659600263,0.0011490573826090666
EtNxnjGwrQ8TzKXHuWoi4azKtDqvxorHUrhmCYcRrDQF,13004997500,2,38994997500,10000,19497498750,2.564431501758655e-05
G7xnivBSKPB7Wreu3ZznXdKTkHqZVcFn6VtxYs3DyBgL,8392223913,10,44820611273,50000,4482061127,0.00011155581903033989
5f6wtU94VM5Pikx1hV5yjP9RnD1s5TWBwXJr2K1Tj1m9,12908461835,4,56705395505,20000,14176348876,3.527001235400342e-05
8V5cKPpLvmLE41174hQRyiNgUP3wBzScfvfXrZGZS9g5,21504161985,2,25230,10000,12615,39.635354736424894
3uXyi46wfABT5xMh6fqoanM3XzgS7TiagZZ8BCG2jCZG,12494997500,3,37464997500,15000,12488332500,4.0037370881981244e-05
EuUpQWNRe8q2E5W9XxzsSZYEJxxz3SAbJADZjneYehwG,68436801677,37,29767542093,245000,804528164,0.0008230441036568253
97mdznK4FAHCkazQTsNVZN8HYHQ3LNa6aYd9LuAaLdQQ,11696058511,27,188971376917,135000,6998939885,7.14393905587589e-05
3wq3vNkaP2Aidt1BNWXpGgkwKzSkqSkHPhDcQstY27A8,3011636205622,13,107500527009,65000,8269271308,6.0464819855774445e-05
78YiCndqRgx87neryamMf5YSrGozv6NUMV1a7jprvdZY,75272839277,113,486844224544,785000,4308355969,0.00016124254133553006
AaDfqX8xc83ub4R2TH9zv9rgcS8HZnbfDv66XHmXKqHc,40762728230,7,69549900370,35000,9935700052,5.032358035569103e-05
2Uirf8eAHqAeAqpjBnZ6rYDY614jgtArYtQuZGHxiJDA,21753377403,31,138945496683,155000,4482112796,0.0001115545330365243
