pubkey,balance,txn_count,total_transacted,total_fee,avg_txn,avg_fee_percent
4GC3a1RkRXx5shwGP8pTY6cxXgSWkbfc66vM53a6qSKj,1063227836520451,1,2499990000000,5000,2499990000000,2.0000080000320002e-07
9z8w7GymR1AYvWWki8o8JHPnvnuAXTWKLsMA6jUU6Nj1,25025269429350,52,1139280213747910,265000,21909234879767,2.326030038985974e-08
4AcoZa1P8fF5XK21RJsiuMRZPEScbbWNc75oakRFHiBz,92208019020880,11,292228000000000,75000,26566181818181,2.5664891796816186e-08
3Wc5jMzqEdExQtxH7H5K3TvJpkxUizXMCEdwMadqVVpv,2134689067744493,5,25576253038360,25000,5115250607672,9.774692157801334e-08
H7e58nyHiwmkeHonL511tphKZLXBP6wWqErV699bNZes,989456506681388,3,9411286415000,15000,3137095471666,1.593830995951046e-07
33ZCSWgqpo4RSnczqNKkTwvGx12T9WK7pzSJCG6VYdka,45392677410357,13,7240127295000,65000,556932868846,8.977742704177136e-07
F1iqbHfoCJHyqUhp1JCPBh5Rdfjow4Qr7ib7AegC2bDt,2914542421923875,13,10761162602576,65000,827781738659,6.040239554083157e-07
7wbnwfdfUfcmSJzEEGAUYRu2oYqG6TWywASDffHLCE9y,34270788955712,28,6325400994488,180000,225907178374,2.845669391661545e-06
6VAH4K52x6EQgWkpcDjiowt2aiipmHTcobvZge12sLtE,13733618361370,14,4416877629461,75000,315491259247,1.6980321007705254e-06
9XWxHqqvraKQS5HhhNdT11VhwBPChP51fwtCTi83X78o,1016950114915203,9,12275398974416,45000,1363933219379,3.665868628285531e-07
7x4a4ntcjmiTT9fdTqZSSwERVoxJaAwKAtwgzYfbEsxn,2323701377007892,10,5117416834000,50000,511741683400,9.770554485185016e-07
9EzcgTrpBrggczPawyVsWKDYb3W77QcSQc5akvcGv2aP,1238362711759089,8,3905402484700,40000,488175310587,1.0242222192643652e-06
EE56Rs4qxypiehS5eNgT1iQsYyvTrmKmtnyaeFuTsAMB,1166987441937191,23,2710077038637,115000,117829436462,4.2434218053756076e-06
CsD3itiw883rx2RaYR464fVxkTZMGsd1wL1ezApe4rZt,2109981516192073,62,11360175223438,310000,183228632636,2.7288311483120134e-06
DapUEELsvLPsKXbjrmvv88kDCviNEXyr6u9QRkb4Q6rB,2962440918551281,7,2002002019280,35000,286000288468,1.7482499849119734e-06
4uQoWxM82suCDRqaGhfRtLqz9wjYL2dHv6TuDQdkzoiu,2505050440505190,11,3104292822950,55000,282208438450,1.7717400753365034e-06
33v5CjgAWfvumHULaZLYTi4F6fwBUtmAnmhyj6tknfM5,36320457461410,21,4008064468224,105000,190860212772,2.61971834117045e-06
ADfDasZiZmoewgXJQtUobno9hG4Y97ab5a1uYQbQB2zC,29877990073099,31,4432334275648,155000,142978525020,3.4970286616602095e-06
Akrigbxqt5RtXu2f5tyPGqzmyyunTWPr6tv1uF9CvUN7,138342513914323,10,3654680115402,50000,365468011540,1.368108792594019e-06
8TccghqD7hc1KgCEpPF4PBYoBUYL421d6ZYW2ZvUPqkq,2610690476459137,1,27292670000,5000,27292670000,1.831993718459938e-05
ENKH7RXenibWiLQHPiGCV6w1i8Fuwd3j5w1N5wbv9ati,23766390080428,4,1729475166596,20000,432368791649,1.1564201895633196e-06
DZNmPaSYjLfAb3VzNbM4cvu9QWTLNnvTDi7FYks5d51e,1036101202488353,18,6264408698846,90000,348022705491,1.4366878715397255e-06
CddEnWW6we71LKdEHwAoQKUr5k58Vt7EkU8wr6Ru82C9,1083241539168826,7,1531051115160,35000,218721587880,2.2860112019409868e-06
EVyKwMP3h7B1j4DfLfSMYGRjMAvqwaTxCsZ9WEc4BNqo,1116545018164994,42,4364478228970,210000,103916148308,4.811571715631153e-06
A7XNU6Zb52aHPhLvnnocwnpp9sAi15HxxuK3ZBLHmevd,982798181724884,12,2635357401520,60000,219613116793,2.2767310409356124e-06
9yq3PiiC5eZRt8RHDDyorHZHQjd11QaYcUFEvDPgBxnn,45938150610882,22,5079384688430,110000,230881122201,2.1656166395619106e-06
5ZcH5iDdsU9fNFUEhV82XowhpkRkRWWnH2cjs64aUkfp,1058411152570806,7,1478747086230,35000,211249583747,2.3668685690688964e-06
5eugvHFdBhhsFUre3svznxMssfCf7Neop84u6eagEj4T,13816735375465,6,1199031275091,30000,199838545848,2.50201980742522e-06
Gwt1st6ma21BQPDQpQ2znRxXFQudzQgs7E7MmXvf7HwH,7590289951116,18,2645806947212,95000,146989274845,3.590586988975351e-06
CzovjnNqp3GUavMiCWvySnvUjUNKQpcbR8BzNiWMkRmA,39703851020900,3,1177104200174,15000,392368066724,1.2743136926860591e-06
BkKeuYYCmjh613173Cm1n973o8My16Sv6cynyWa182qD,1026761231307545,6,1066915410000,30000,177819235000,2.811844286699355e-06
8F3nsWNvXvJB7XL8EJbamWsqQ9N9K2TPzn5HXgjWfBHj,21774850276874,5,1252429525772,25000,250485905154,1.9961202994308165e-06
GFsvn9221ppTKRorip7P1JC7W8UQCpTNefS1fQXFFsfu,2022739751300013,111,4792583541070,555000,43176428297,1.1580392814103974e-05
F5fKKzZkt5SStZx9u7KGW2eWbHTB6ND56nkq3QwJsU1c,973466419781748,12,2399098024880,65000,199924835406,2.709351569878068e-06
85JynDDachGwv413n7wET7zXqxxAKyqvi9PmRJtsQPd1,1020511694266920,3,999771359800,15000,333257119933,1.5003430387324443e-06
AqEHfEMed9wp6oBBA9LCE8vqkzjDbwNZqBi7FLkXtLjE,1118505580153865,27,1456139830960,135000,53931104850,9.271087647605763e-06
7Z6vg1sJ15dTzpSJn4A1BBadJTRC1VbNRGHBraqBpWTC,3731182949475792,14,1445124187240,70000,103223156231,4.843874361669286e-06
2MhZQ4PByjgMqdauLZWij1Rw1VzCqKqLug2qi9RXgpcq,11530650135034,12,950427904990,60000,79202325415,6.3129459567615804e-06
HUaKfB1UXwRJ5ZNhTSr8fkw617EEG97JHQD8RH3eSVJT,84809725615919,3,739217970620,15000,246405990206,2.029171448229152e-06
6RhTc6dhPGcmJCMTAXJvdeNnz2nsaDTQYcBR7CgeDigm,5550334063358,12,1868032867500,60000,155669405625,3.211934920625801e-06
32o1QEnN5ef995aYFn3UrfWNyjBqzm4H9tMUXMNKNZm4,393489673563644,25,1998623736860,125000,79944949474,6.25430378388206e-06
7xF1h7PhQJiZkef62E5igqAmqoXfbpGeTe4C3mZY2YLe,37423914602176,5,781989960000,25000,156397992000,3.19697199181432e-06
F2eeg5Giy5RHb6UJwwSDKirtR9vDgzr7NzS7S3nG1d4H,60198868469086,2,99990000000,10000,49995000000,1.0001000100010001e-05
