pubkey,balance,txn_count,total_transacted,total_fee,avg_txn,avg_fee_percent
Gb8dtamUcv8ghJG3vMT25UdoBk5fARsXRmT6uozeJdHX,9990000,3,110000000,15000,36666666,0.013636363636363637
F3CZjBRQun7d2zAEmA27qNq21toLH5eUjZKmwcmBDmYb,9990000,3,110000000,15000,36666666,0.013636363636363637
2nfLeJKbmSGPYuys5TaXp8VVuQmihSsv9ukmyW5mgzJt,9985000,4,110000000,20000,27500000,0.01818181818181818
3RhqrUEzUrC2TxH11hqtzMBGGPc23VriR9fB8ELyb2VV,9985000,4,110000000,20000,27500000,0.01818181818181818
35Ge2QXWemvStHPrtiDukkf1LG1cZskvy6VLxmJ2vz35,9990000,3,110000000,15000,36666666,0.013636363636363637
G8sauDJNWd4v5XR2T7sjE1X5svV7eojvBTikdkxCJzM9,9990000,3,110000000,15000,36666666,0.013636363636363637
7wgzvZgTmFwyrGVcikPqjoJVgZfYBSehAxTLD1PAYgNW,9990000,3,110000000,15000,36666666,0.013636363636363637
BH6WxvEGX7SMztH5LWzMGmwcoqVHecxaMdCiv95abxPc,9990000,3,110000000,15000,36666666,0.013636363636363637
7dPqBYywCgLmjuHmexrEJLTCuoFpEUEf31Mjkjhz15wv,2099965000,10,3100000000,75000,310000000,0.0024193548387096775
4Jy7oJPtrZY2UBQJgDtpZX162WTor3YDycojqRknMmxp,9990000,3,110000000,15000,36666666,0.013636363636363637
6T4ddWpeAvpU49aePYV6YiWPkMeNbBuWwGtPTphZ3xn6,499985000,5,300001500000000,30000,60000300000000,9.999950000249998e-09
DDm2AFJH5QhugRzBp9cq3QXFtqrRQ7k79iBPf7RRban7,1099980000,6,2100000000,40000,350000000,0.0019047619047619045
947Eysc6tsF7tnmisJSohBjLRER6U3JS4rntY6pN1iuN,9990000,3,110000000,15000,36666666,0.013636363636363637
EG1KLLbFVZcTmB2UuU7uimKQtrfwVjrFe4PufH3nvspU,1999995000,4,192000000000000,20000,48000000000000,1.0416666666666667e-08
HqbNpibyx4EMv6nQMdfg3EizB9gTGpgyYpyXFrByuN6c,3536357185,30,10005536497185,160000,333517883239,1.5991146506238328e-06
J6GmF1cRxjV7V1qk8JZDM3PEkHws4TAGD6KPkVmM2owv,9990000,3,110000000,15000,36666666,0.013636363636363637
8VWWhUBkn4DoqdqctW3Xtk3tmeV1JwvRs1u87MsJJAy1,4488960840,198,340967241059223,1330000,1722056773026,3.900667981675667e-07
EMfQV4CNry1HQqf3f8tvSUCXmnkX6zxBepW9CiaE7yEt,49980000,7,150005000,35000,21429285,0.02333255558148062
J65Uj5mJJpSuvN8zpfZWCT4EEYiSDEJjdmneEc4tLFjj,2498470666,13,7751722637,70000,596286356,0.0009030250858806624
HEg4NRDQLWxvGBvqUP76FqQNNDGgxJQNvuaQyRA877RJ,1099990000,4,2100000000,30000,525000000,0.0014285714285714286
AHz6k2W4WZ7oUJXDfVgZe7Ji6Z283KBq55nFvyDHArnn,1999945000,13,300008000000000,65000,23077538461538,2.1666088904295884e-08
8HomuzPR5oAqthEsSHz6CcJi6pdYgykXHyjMszQPYhGD,10000000,21,289518195327464,105000,13786580729879,3.626715062976893e-08
BQDDY9uTN6h3vkkN7mdHzUisSvswTK57wX4P134fPFrG,649964955,32,64578870109955,160000,2018089690936,2.4775905761060314e-07
EomDFX7uLyPCmzui5Ed272T2Tvaatz1zFhmAfs7tQjBW,10000000,21,217492617729302,105000,10356791320442,4.827750067852244e-08
AQiz33yuuYL9Vwq177Ve8rMUwcygPzyrRVJY4XQY8G6T,10000000,24,31316483514158,120000,1304853479756,3.8318478492564053e-07
D9PtJU2MfyeCR2UBzYz7X4uj1PyxDPY4WP2uKidC9z8J,278241058,36,133948508436058,240000,3720791901001,1.7917332772284435e-07
9qZ2kFnFatQkaGzxFQjnxcVpfTshfthuSwHrwY6pRQP3,10000000,7,38848639825000,35000,5549805689285,9.009324433921799e-08
9FxWTNViK4zxMddGQvikDYyRMzrLyNn7oKt9R2YLkte9,333243643,9,24276533278643,45000,2697392586515,1.8536419299862815e-07
DtuLmd2Sn8JoyUycvJ23Tmc1vMhdQgTgnoDoBDh3h4a2,10000000,250,48313328735576,1250000,193253314942,2.5872777403548064e-06
J9QAbnsP6JR3QN3z6pHAJSVbyBDR9eHLzGZzDqrYUKAd,10000000,6,21651625996300,30000,3608604332716,1.3855772312493592e-07
HhTyW3Qi3Zr8W7bEhuSbqNXhmwLUatsF5id8K71Ze3Nx,2701625000,17,57664701680000,85000,3392041275294,1.474038667046131e-07
H4sfFr8ZpkJh8QQaRZ8BZ9r9vE3Lt3CE6rJcE5CHrzq6,10000000,17,17125822569980,100000,1007401327645,5.839135585539164e-07
FstrD6w78z3dXYXghipxcrdmE52Hpq19i2toPVQMJNXj,9995000,4,20014315595000,20000,5003578898750,9.992847322241897e-08
CZbGpUu5gUUk3FzNaq89JPGKt2Yc9w9jR1AnRoE7ESm,10000000,38,38351861329820,190000,1009259508679,4.954127216043826e-07
36BHNGhQjbZhnvD13sYQJ8uHra19qA7DMqPkpVWvLRrZ,5640000,17,30648525710000,85000,1802854453529,2.7733797313541317e-07
DQcjeQDzgYKLsYPEPCnpjvcpAhrdEk6zRzuoYVnY3nCt,10000000,97,256177524179230,485000,2641005403909,1.89321839046535e-07
