pubkey,balance,transacted,fee,sig
9dhoieCDdX3qawKK283vtcLmKHnvnMm3VQTKybyBcSdd,55259833950,0,5000,5LkFZ5F2vCmDJCvaJLYp76KFnydCxrEi1x1yjiMdr2Z6ffo6epjkposXYqwgsV18B7QnAD7C9gfr1F3DDSESk3cg
6WmfTfhkofvspKEeuckm346xf1CCgDeoyw1pjmDmqufG,587780862,0,5000,41bjKVEZs8up7PbBKazGkhoGDgmxq1edCQBm5Tw8aNRfqZ28TctVbM2x8M8nAzp5EJ33mBsK7b3Va5M2qLGKMX2t
5QupHQxKmpqzf1omkksiyxDzWKBvDxoZXCm295pFWexu,321505592,0,5000,3oMFrJaWq3YmPzVjbmfBqLWSATiY8wc5RYcdNPfHbmHQ1TrjHQ58Y9of5Gh1XnmqUXGLp8ptGW5BcGZpPAWA93xV
HPpTQ5QYSAudKBFSZLQeDAmUAQa6iVZddaYN61cE1tQ8,939906646,0,5000,4RyrKyyKzVjQMSrVzCdLhYq2jamqS9cXxhrCM5qshwop4jKFvUm3Kywzy6pnm8uaNc3dSr3GijEd4vPtdjXJ8vmu
J82diotXiamN12c5F5RQ7SSP6ypnDMiTJLv637dHtZ9z,65707768,0,15000,4hJoQrq3sR1JYQURZZD5Hc27VXLbW6TAUN9fqGG54xMfxSL2HxikroRgzp65d3a9zVL1udh9xUSUwi9saCa3arcK
BBF8YpUpWY9ipSZq78RDU3hxHtxSrkxSdiDGEjCU7hC7,499735852834,0,10000,4PZEPa61LJxNU3gWCd48dcqjNbrdm7oWsSKX398unbKZerdQ2u5RwdSKg8Y1ZyQi8HhF2ynFgW7rN8HoJQxzYsqQ
BBF8YpUpWY9ipSZq78RDU3hxHtxSrkxSdiDGEjCU7hC7,499735832834,0,10000,4bdLeaz5yRpyUMT97ewVTBRpk3SMMy2i8bV3V9yQhCFLWm4BvNDqYgnTCmYrrUXDvNDQA2s8BEvcqBxCiRds92si
BBF8YpUpWY9ipSZq78RDU3hxHtxSrkxSdiDGEjCU7hC7,499735842834,0,10000,5qXUikySdWUCD3ytakuqgBGzVZJ9qJKVQinN9UYWSQkEwZvEkDAW2SqnUtpFDVLkMfMA9tN5C2xeuXP5LH59KMq6
BBF8YpUpWY9ipSZq78RDU3hxHtxSrkxSdiDGEjCU7hC7,499735872834,0,10000,24afsokAf9FgyvUYP4mSMB9goFbzXM6TL7hx6HmJmVG4kZ7DHj8Ech97eGGYoSUYQgWs27cG21K15mj35837FbpH
HMxZz8fv2uR9suzAPRbJGNB3wZL1eT3eKL3cpYWUbM8K,1172923312,499999999,15000,2QY8jTLnSNuRW9nFyvY9erCAF9nQd2SS1NqeWfQ2tRPyPhJsNiTgqR7M258mshPxRjbozWrAwfpyVFxzeQcRHGWy
85ujzoN4xuxFPaHsKUnRFHoQpE8dVpvCHU974YpcQkCW,89620017941,0,5000,2kiyPYAkVSyrqeqie6ZrfDhq9zwRwmHWqEbXvU53ZrDGdVXwXFv4pb3LSxB7YhB6B2FGg1yiRESde9HRr5S6pAJi
5tMx9GXT5jg3hiM9sZ7i341hQH2bqN45Q7FNEKG6Xixk,441202266701,0,10000,Nw565nQM7MnQvWC6trVxTXNpYk2kvU6m5fUtfa7kwtGRhMN3y4sqSPCUPgGaLZCuKDsFSu1thp6Yq4XjiaFJjWe
BiXsjVFhCd6GNCDWub7rrrz4NDh74JxJTW9hihdBqKo4,74705434842,74427028415,10000,3edAfGSpAmujrDoJG9zmPpcLXpgH1HyDETfC7xqcSuAgrJwQk176XiujvX8V2YZxt35TjKq6QumnwFQfzYcHQ35V
